Temperature (K),Pressure (atm),Density (kg/m3),Cp (J/g*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
642,1,1.5905,0.24824,4.6663E-05,0.017368
643,1,1.588,0.24824,4.6717E-05,0.017387
644,1,1.5856,0.24824,4.6771E-05,0.017407
645,1,1.5831,0.24824,4.6824E-05,0.017427
646,1,1.5807,0.24823,4.6878E-05,0.017447
647,1,1.5782,0.24823,4.6931E-05,0.017467
648,1,1.5758,0.24823,4.6984E-05,0.017487
649,1,1.5733,0.24823,4.7038E-05,0.017507
650,1,1.5709,0.24823,4.7091E-05,0.017527
651,1,1.5685,0.24823,4.7144E-05,0.017546
652,1,1.5661,0.24823,4.7198E-05,0.017566
653,1,1.5637,0.24823,4.7251E-05,0.017586
654,1,1.5613,0.24823,4.7304E-05,0.017606
655,1,1.5589,0.24823,4.7357E-05,0.017626
656,1,1.5565,0.24823,4.741E-05,0.017645
