Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
249.00	1.0000	4.1164	0.24293	115.44	140.05	1.0819	0.14922	0.24994	202.68	1.9928	2.1307e-05	0.0079218	vapor
250.00	1.0000	4.0997	0.24392	115.59	140.30	1.0829	0.14922	0.24992	203.09	1.9793	2.1388e-05	0.0079520	vapor
251.00	1.0000	4.0832	0.24491	115.74	140.55	1.0839	0.14921	0.24990	203.50	1.9660	2.1468e-05	0.0079822	vapor
252.00	1.0000	4.0668	0.24589	115.89	140.80	1.0849	0.14920	0.24988	203.91	1.9528	2.1548e-05	0.0080123	vapor
253.00	1.0000	4.0506	0.24688	116.04	141.05	1.0858	0.14920	0.24986	204.32	1.9397	2.1628e-05	0.0080424	vapor
254.00	1.0000	4.0345	0.24787	116.19	141.30	1.0868	0.14919	0.24984	204.72	1.9268	2.1708e-05	0.0080724	vapor
255.00	1.0000	4.0185	0.24885	116.34	141.55	1.0878	0.14919	0.24982	205.13	1.9140	2.1788e-05	0.0081024	vapor
256.00	1.0000	4.0026	0.24984	116.49	141.80	1.0888	0.14918	0.24980	205.54	1.9014	2.1868e-05	0.0081323	vapor
257.00	1.0000	3.9869	0.25082	116.63	142.05	1.0898	0.14918	0.24978	205.94	1.8889	2.1948e-05	0.0081622	vapor
258.00	1.0000	3.9713	0.25181	116.78	142.30	1.0907	0.14917	0.24976	206.35	1.8766	2.2027e-05	0.0081920	vapor
259.00	1.0000	3.9558	0.25280	116.93	142.55	1.0917	0.14917	0.24974	206.75	1.8644	2.2107e-05	0.0082218	vapor
260.00	1.0000	3.9404	0.25378	117.08	142.80	1.0927	0.14916	0.24972	207.15	1.8523	2.2186e-05	0.0082516	vapor
261.00	1.0000	3.9252	0.25477	117.23	143.05	1.0936	0.14916	0.24971	207.56	1.8403	2.2265e-05	0.0082813	vapor
262.00	1.0000	3.9100	0.25575	117.38	143.30	1.0946	0.14915	0.24969	207.96	1.8285	2.2344e-05	0.0083109	vapor
263.00	1.0000	3.8950	0.25674	117.53	143.55	1.0955	0.14915	0.24967	208.36	1.8168	2.2423e-05	0.0083405	vapor
264.00	1.0000	3.8801	0.25772	117.68	143.80	1.0965	0.14914	0.24965	208.76	1.8052	2.2502e-05	0.0083701	vapor
265.00	1.0000	3.8653	0.25871	117.83	144.05	1.0974	0.14914	0.24964	209.15	1.7937	2.2581e-05	0.0083996	vapor
266.00	1.0000	3.8507	0.25970	117.98	144.30	1.0984	0.14913	0.24962	209.55	1.7824	2.2660e-05	0.0084291	vapor
267.00	1.0000	3.8361	0.26068	118.13	144.55	1.0993	0.14913	0.24960	209.95	1.7711	2.2739e-05	0.0084585	vapor
268.00	1.0000	3.8217	0.26167	118.28	144.80	1.1002	0.14912	0.24959	210.35	1.7600	2.2817e-05	0.0084879	vapor
269.00	1.0000	3.8073	0.26265	118.43	145.05	1.1012	0.14912	0.24957	210.74	1.7490	2.2895e-05	0.0085173	vapor
270.00	1.0000	3.7931	0.26364	118.58	145.30	1.1021	0.14912	0.24956	211.14	1.7381	2.2974e-05	0.0085466	vapor
271.00	1.0000	3.7790	0.26462	118.73	145.54	1.1030	0.14911	0.24954	211.53	1.7273	2.3052e-05	0.0085758	vapor
272.00	1.0000	3.7650	0.26561	118.88	145.79	1.1039	0.14911	0.24953	211.92	1.7167	2.3130e-05	0.0086050	vapor
273.00	1.0000	3.7510	0.26659	119.03	146.04	1.1048	0.14910	0.24951	212.32	1.7061	2.3208e-05	0.0086342	vapor
274.00	1.0000	3.7372	0.26758	119.18	146.29	1.1058	0.14910	0.24950	212.71	1.6956	2.3286e-05	0.0086633	vapor
275.00	1.0000	3.7235	0.26856	119.33	146.54	1.1067	0.14910	0.24948	213.10	1.6853	2.3364e-05	0.0086924	vapor
276.00	1.0000	3.7099	0.26955	119.48	146.79	1.1076	0.14909	0.24947	213.49	1.6750	2.3441e-05	0.0087214	vapor
277.00	1.0000	3.6964	0.27053	119.63	147.04	1.1085	0.14909	0.24946	213.88	1.6648	2.3519e-05	0.0087504	vapor
278.00	1.0000	3.6830	0.27152	119.78	147.29	1.1094	0.14909	0.24944	214.27	1.6548	2.3596e-05	0.0087794	vapor
279.00	1.0000	3.6697	0.27250	119.93	147.54	1.1103	0.14908	0.24943	214.66	1.6448	2.3673e-05	0.0088083	vapor
280.00	1.0000	3.6565	0.27349	120.08	147.79	1.1112	0.14908	0.24941	215.04	1.6349	2.3751e-05	0.0088372	vapor
281.00	1.0000	3.6434	0.27447	120.23	148.04	1.1120	0.14907	0.24940	215.43	1.6252	2.3828e-05	0.0088660	vapor
282.00	1.0000	3.6303	0.27546	120.38	148.29	1.1129	0.14907	0.24939	215.82	1.6155	2.3905e-05	0.0088948	vapor
283.00	1.0000	3.6174	0.27644	120.53	148.54	1.1138	0.14907	0.24938	216.20	1.6059	2.3982e-05	0.0089235	vapor
284.00	1.0000	3.6046	0.27743	120.68	148.79	1.1147	0.14907	0.24936	216.59	1.5964	2.4058e-05	0.0089522	vapor
285.00	1.0000	3.5918	0.27841	120.83	149.04	1.1156	0.14906	0.24935	216.97	1.5870	2.4135e-05	0.0089809	vapor
286.00	1.0000	3.5792	0.27939	120.98	149.29	1.1164	0.14906	0.24934	217.35	1.5777	2.4212e-05	0.0090095	vapor
