Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
193.00	1.0000	2.5307	0.39514	59.959	99.997	3.6457	0.31291	0.52402	258.52	1.4357	1.5445e-05	0.012071	vapor
194.00	1.0000	2.5175	0.39721	60.273	100.52	3.6484	0.31290	0.52397	259.19	1.4231	1.5518e-05	0.012127	vapor
195.00	1.0000	2.5045	0.39928	60.587	101.04	3.6511	0.31288	0.52392	259.86	1.4108	1.5590e-05	0.012184	vapor
196.00	1.0000	2.4916	0.40135	60.902	101.57	3.6538	0.31287	0.52387	260.54	1.3986	1.5663e-05	0.012241	vapor
197.00	1.0000	2.4788	0.40342	61.216	102.09	3.6564	0.31286	0.52382	261.21	1.3866	1.5735e-05	0.012297	vapor
198.00	1.0000	2.4662	0.40549	61.530	102.62	3.6591	0.31285	0.52378	261.87	1.3747	1.5807e-05	0.012353	vapor
199.00	1.0000	2.4537	0.40755	61.844	103.14	3.6617	0.31284	0.52373	262.54	1.3630	1.5879e-05	0.012410	vapor
200.00	1.0000	2.4413	0.40962	62.159	103.66	3.6643	0.31283	0.52369	263.21	1.3514	1.5951e-05	0.012466	vapor
201.00	1.0000	2.4290	0.41169	62.473	104.19	3.6670	0.31282	0.52364	263.87	1.3400	1.6023e-05	0.012522	vapor
202.00	1.0000	2.4169	0.41376	62.787	104.71	3.6696	0.31281	0.52360	264.53	1.3287	1.6095e-05	0.012578	vapor
203.00	1.0000	2.4049	0.41582	63.101	105.23	3.6721	0.31280	0.52356	265.19	1.3176	1.6167e-05	0.012634	vapor
204.00	1.0000	2.3930	0.41789	63.415	105.76	3.6747	0.31279	0.52351	265.85	1.3066	1.6238e-05	0.012690	vapor
205.00	1.0000	2.3812	0.41996	63.729	106.28	3.6773	0.31278	0.52347	266.50	1.2958	1.6310e-05	0.012746	vapor
206.00	1.0000	2.3695	0.42202	64.043	106.80	3.6798	0.31277	0.52343	267.16	1.2851	1.6381e-05	0.012802	vapor
207.00	1.0000	2.3580	0.42409	64.357	107.33	3.6824	0.31276	0.52340	267.81	1.2745	1.6453e-05	0.012857	vapor
208.00	1.0000	2.3466	0.42616	64.671	107.85	3.6849	0.31275	0.52336	268.46	1.2641	1.6524e-05	0.012913	vapor
209.00	1.0000	2.3352	0.42822	64.985	108.38	3.6874	0.31275	0.52332	269.11	1.2538	1.6595e-05	0.012968	vapor
210.00	1.0000	2.3240	0.43029	65.299	108.90	3.6899	0.31274	0.52328	269.76	1.2436	1.6666e-05	0.013024	vapor
211.00	1.0000	2.3129	0.43235	65.613	109.42	3.6924	0.31273	0.52325	270.40	1.2335	1.6737e-05	0.013079	vapor
212.00	1.0000	2.3019	0.43442	65.927	109.94	3.6948	0.31272	0.52321	271.05	1.2236	1.6808e-05	0.013134	vapor
213.00	1.0000	2.2910	0.43649	66.241	110.47	3.6973	0.31271	0.52318	271.69	1.2138	1.6878e-05	0.013190	vapor
214.00	1.0000	2.2802	0.43855	66.555	110.99	3.6998	0.31271	0.52314	272.33	1.2041	1.6949e-05	0.013245	vapor
215.00	1.0000	2.2695	0.44062	66.869	111.51	3.7022	0.31270	0.52311	272.97	1.1945	1.7019e-05	0.013300	vapor
216.00	1.0000	2.2590	0.44268	67.183	112.04	3.7046	0.31269	0.52307	273.61	1.1850	1.7090e-05	0.013355	vapor
217.00	1.0000	2.2485	0.44475	67.496	112.56	3.7070	0.31268	0.52304	274.25	1.1757	1.7160e-05	0.013410	vapor
